Subj01,Subj02,Subj03,Gen. Average,Remarks,YRGRAD,TE,REGION/PROVINCE/CITY,SEX,# OF TAKES CORREL 1,# OF TAKES CORREL 2,# OF TAKES CORREL 3,GRADE IN CORREL 1,GRADE IN CORREL 2,GRADE IN CORREL 3
66,53,50,56.5,FAILED,422,2,0,0,1,1,1,1,1,1
83,90,85,85.8,PASSED,323,1,0,1,1,1,1,2,1,1
57,83,50,62.35,FAILED,721,2,0,0,3,,3,1,,1
56,82,52,62.4,FAILED,723,1,0,0,2,7,2,1,1,1
38,34,37,36.45,FAILED,422,2,1,0,3,2,2,1,1,1.5
56,64,59,59.45,FAILED,422,2,1,1,2,1,2,1,1,1.5
66,83,71,72.85,PASSED,323,1,0,1,1,1,2,1,1,1
74,75,63,70.45,PASSED,623,1,1,1,2,1,1,1,1,1
78,92,82,83.6,PASSED,323,1,0,1,1,1,2,1,1,1
64,72,67,67.45,FAILED,323,1,0,1,1,6,1,1,1,1
74,86,76,78.3,PASSED,923,1,0,0,1,3,1,1.5,1,1
72,75,67,71.15,PASSED,922,2,1,1,3,2,1,1,1,
57,74,60,63.15,FAILED,721,2,1,0,3,,3,1,,1
77,89,45,79.9,PASSED,1222,1,0,1,1,1,1,3.5,2.5,1
75,83,65,73.9,PASSED,323,1,0,0,1,2,2,2.5,3,1
62,84,71,71.75,PASSED,1222,2,1,0,1,1,1,1.5,2,1
75,84,74,77.35,PASSED,722,1,1,0,1,1,1,1,1,1
72,39,54,55.8,FAILED,520,2,0,1,2,2,,0.5,2,
72,89,71,76.75,PASSED,722,1,,,,1,1,,1,1.5
76,88,82,81.7,PASSED,1222,1,,,1,1,1,2,1.5,1
68.22,75.11,63.07,68.53,,,,,,,,,,,
9.936,16.25,14.644,12.119,,,,,,,,,,,
